"","Goles","Jugador","Club"
"1","11","MORALES, ENZO","CUADRO NACIONAL B"
"2","10","NAHUEL, VALENTIN","LOCOS X EL FUTSAL"
"3","9","MERCAU, ALEJANDRO","LOCOS X EL FUTSAL C"
"4","8","RIQUELME, TOMAS","LOS LEGENDARIOS"
"5","8","LUNA , ERIC","CDA A"
"6","8","DE LOS RIOS , MARTIN","LOS LEGENDARIOS"
"7","6","CAMILETTI, MAXIMILIANO","PARQUE NORTE C"
"8","6","NAVARRO , NICOLAS","CDA A"
"9","6","CASTRO, LUCIANO","TENIS D"
"10","5","MARTINEZ , LAUTARO","UTN B"
"11","5","SANCHEZ, LUCAS","LOS ANDES"
"12","5","CERDA, DIEGO","CUADRO NACIONAL"
"13","5","D'ERASMO , RAMIRO","UTN"
"14","5","BALACCO , AUGUSTO","CDA C"
"15","5","VILCHE, EFRAIN","LOS LEGENDARIOS A"
"16","4","CHIACCHIARA , BRIGHTON","UTN"
"17","4","GOMEZ, TOMAS","TENIS D"
"18","4","MORALES, MARCELO","CUADRO NACIONAL B"
"19","4","NAJAR, ENZO","PARQUE NORTE C"
"20","4","COPA, LUCAS","UTN B"
