"","Goles","Jugador","Club"
"1","5","GORRI, LUCAS","LOS ANDES A"
"2","3","ARENA, JEREMIAS","BANCO MZA"
"3","2","GORRI, IGNACIO","LOS ANDES A"
"4","2","GONZALEZ, DAMIAN","CUADRO NACIONAL"
"5","2","RODRIGUEZ , MIGUEL","BANCO MZA"
"6","1","CABRERA, IGNACIO","EL PORVENIR"
"7","1","LOPEZ, EMILIANO","EL PORVENIR"
"8","1","MORALES, OSCAR","HURACAN"
"9","1","SABIO, MAURICIO","HURACAN"
"10","1","LARA, GASTON","BANCO MZA C"
"11","1","PINNA, AGUSTIN","BANCO MZA"
"12","1","MANQUES , MATIAS","BANCO MZA C"
"13","1","CAMILETTI, MAXIMILIANO","PARQUE NORDICO C"
"14","1","GONZALEZ, ERIC","PARQUE NORDICO C"
"15","1","GONZALEZ, MARIANO","PARQUE NORDICO C"
"16","1","VILLARRUEL, DIEGO","BANCO MZA"
