"","Goles","Jugador","Club"
"1","5","MORALES, LUCCA","PESCADORES"
"2","3","CACERES, ULISES","UTN"
"3","3","ARAYA, JUAN","LOCOS X EL FUTSAL A"
"4","3","RODRIGUEZ, MATEO","PEDAL"
"5","3","MARIN, TOMAS","BANCO MZA"
"6","2","CORREA , MATIAS","BACHILLERATO"
"7","2","FORNES, MATIAS","PEDAL A"
"8","2","OCHOA , LAUTARO","LOCOS X EL FUTSAL"
"9","2","SALVO, VALENTINO","BANCO MZA"
"10","2","SAPUNAR, BONO","BANCO MZA"
"11","2","TOLEDANO, IVO","BANCO MZA"
"12","2","FORNES , JOAQUIN","LOCOS X EL FUTSAL"
"13","2","GUTIERREZ, GIANLUCAS","SOSNEADO FUTSAL CLUB"
"14","2","ACEVEDO, MIGUEL","LOCOS X EL FUTSAL B"
"15","1","RODRIGUEZ, JOAQUIN","BANCO MZA"
"16","1","BONOMO, TIZIANO","PESCADORES"
"17","1","CANO, FRANCISCO","PESCADORES"
"18","1","CASTRO, JUAN","PEDAL"
"19","1","AGUIRRE, LUCIO","PESCADORES"
"20","1","PADILLA, LEANDRO","PEDAL"
