"","Goles","Jugador","Club"
"1","8","PEDERNERA, NICOLáS","CDA A"
"2","6","NAVARRO , SEBASTIAN","CDA A"
"3","6","SANCHEZ, JUAN PABLO","UTN"
"4","5","BERNALES , BENJAMIN","BACHILLERATO"
"5","5","PEREGRIN , KEVIN","PARQUE NORDICO"
"6","5","FERNANDEZ , VALENTIN","UTN"
"7","3","NAVARRO , NICOLAS","CDA A"
"8","3","PACHECO , PEDRO","LOCOS X EL FUTSAL A"
"9","3","MERCADO , TOMAS","TENIS A"
"10","3","ZELADA , RAMIRO","TENIS A"
"11","2","CALZON, JOSE","UTN"
"12","2","D'ERASMO , RAMIRO","UTN"
"13","2","GOMEZ, LAUTARO","CDA A"
"14","2","FERNANDEZ, SANTINO","UTN"
"15","2","MARTINEZ , MARIANO","LOCOS X EL FUTSAL A"
"16","2","REVIGLIO, VELENTIN","TENIS B"
"17","2","MARIN , JUAN","TENIS A"
"18","2","MUÑOZ , JAVIER","PARQUE NORDICO"
"19","2","RUTTI, GIANLUCA","TENIS A"
"20","2","TIZZA , JUAN","AMARAL"
