"","Goles","Jugador","Club"
"1","7","CARRAZCO , ENZO","TENIS A"
"2","6","AYALA  , MARTIN","TENIS A"
"3","6","SUTER , TOMAS","TENIS B"
"4","5","TRONCOSO , CARLOS","TENIS A"
"5","5","FERNANDEZ , VALENTIN","UTN"
"6","5","MARTINEZ , MARIANO","LOCOS X EL FUTSAL A"
"7","5","ALVAREZ, LAUREANO","PEDAL"
"8","4","ESCOBAR, DIEGO","CDA A"
"9","4","SOLIS , LUCIANO","TENIS A"
"10","4","LUFFI , SANTIAGO","PEDAL A"
"11","3","TOLEDO , FEDERICO","BANCO MZA A"
"12","3","MARTINEZ , RODRIGO","HURACAN A"
"13","3","COMPAN , FEDERICO","AMARAL B"
"14","3","FERREYRA , MARCELO","BANCO MZA B"
"15","3","FUNES, LUIS","LOS ANDES"
"16","3","GUZMAN , JUAN PABLO","PEDAL A"
"17","3","FARIAS, FRANCO","BANCO MZA A"
"18","3","ROSAS, BRUNO","RINCON DEL ATUEL"
"19","3","CAMPOS , MATIAS","CDA B"
"20","3","MERCADO , TOMAS","TENIS A"
