"","Goles","Jugador","Club"
"1","5","DE ONDARRA , NICOLAS","PEDAL A"
"2","4","CARRAZCO , ENZO","TENIS A"
"3","3","PEDERNERA, NICOLáS","CDA A"
"4","3","MARI , ALEJANDRO","PEDAL"
"5","3","MENDOZA, LEANDRO","UTN C"
"6","2","FERNANDEZ , VALENTIN","AMARAL"
"7","2","FERRER , MARTIN","TENIS A"
"8","2","FUNES, MATIAS","UTN C"
"9","2","MARTINEZ , MARIANO","LOCOS X EL FUTSAL A"
"10","2","MIRANDA, DANIEL","UTN A"
"11","2","ALIAGA , LUCCA","UTN C"
"12","2","RUTTI, GIANLUCA","TENIS A"
"13","2","ALVAREZ, LAUREANO","PEDAL"
"14","2","ALTAVA, JUAN","TENIS B"
"15","2","CARMONA , GONZALO","CDA A"
"16","2","ESCOBAR, DIEGO","CDA A"
"17","2","MERCADO , TOMAS","TENIS A"
"18","2","MAUREIRA, FABIO","CDA B"
"19","2","MORALES , SANTIAGO","TENIS B"
"20","2","GOMEZ , OSVALDO","TENIS B"
