"","Goles","Jugador","Club"
"1","24","SAEZ, EVANGELINA","PEDAL"
"2","23","FERNANDA, VENAVIDES","AMARAL"
"3","16","CHICOTE , MILAGROS","PEDAL"
"4","14","ZUÑIGA , MARIANA","CDA"
"5","12","ANIS, AMIRA","CDA"
"6","12","CASADO , MARIA","BANCO MZA"
"7","11","PIZZARRO, MARIA","PARQUE NORTE"
"8","11","SAN BLAS, PIA","PEDAL"
"9","9","MEMBRIVE, MARTINA","PEDAL"
"10","9","LAZARO , FLORENCIA","BANCO MZA"
"11","8","JATUN, VICTORIA","CDA"
"12","7","MATEOS, MELINA","CDA"
"13","7","BALMACEDA, LOURDES","CUADRO NACIONAL"
"14","6","DARRE , CELESTE","BANCO MZA"
"15","6","SET , JAQUELINA","AMARAL"
"16","6","FARINA , ANA","AMARAL"
"17","6","ROCHA, MARIA","PEDAL"
"18","5","SORIANO , NATALIA","PARQUE NORTE"
"19","4","MATEOS , VANESA","CDA"
"20","4","OSORIO , ORIANA","AMARAL"
