"","Goles","Jugador","Club"
"1","4","OLIBANO, FERNANDO","BANCO MZA"
"2","4","DELLAC , OSCAR","BACHILLERATO"
"3","3","GANGA, RAMON","LOS LEGENDARIOS"
"4","3","PANTALEY , JUAN ARIEL","BANCO MZA"
"5","3","RUBIO, NESTOR","BANCO MZA"
"6","3","VAZQUEZ, JUAN","PEDAL"
"7","3","RODRIGUEZ , ADRIAN","PEDAL"
"8","2","MANGO, LEONARDO","LOS LEGENDARIOS"
"9","2","RODRIGUEZ , MIGUEL","BANCO MZA"
"10","2","MARTINEZ , MIGUEL","CDA"
"11","2","MUÑOZ, PABLO","CDA"
"12","2","GARCíA, GUILLERMO","BACHILLERATO"
"13","2","MORALES, DIEGO","BANCO MZA"
"14","2","AVILA, RAFAEL","AMARAL A"
"15","1","SORATTO, ENZO","BACHILLERATO"
"16","1","GARCIA, MARCELO","AMARAL B"
"17","1","MOLINA , JORGE","BACHILLERATO"
"18","1","PINI, DAMIAN","CDA"
"19","1","GUARDIA, VICTOR","CDA"
"20","1","SILVA, CARLOS","UTN"
