"","Goles","Jugador","Club"
"1","6","SANCHEZ, ALEXIS","CUADRO NACIONAL A"
"2","5","MARTINEZ, LEANDRO","BANCO MZA"
"3","5","MORALES, OSCAR","HURACAN"
"4","4","BARDARO, EMANUEL","AMARAL B"
"5","4","CARMONA, DIEGO","AMARAL"
"6","4","TUSI, DANTE","HURACAN"
"7","4","MANSILLA , DARIO","AMARAL"
"8","4","DIAZ, DAMIAN","BACHILLERATO"
"9","3","BENITEZ, MAURO","CUADRO NACIONAL"
"10","3","LUIS, FERNANDO","SOSNEADO FUTSAL CLUB"
"11","2","MIGLIERINA, FRANCO","UTN"
"12","2","BUSTOS, JORGE","AMARAL"
"13","2","DONOSO, LEONARDO","CUADRO NACIONAL"
"14","2","DI SANZO , FRANCO","AMARAL"
"15","2","FERREYRA , MIGUEL","HURACAN"
"16","2","GERLERO, CARLOS","BANCO MZA"
"17","2","COCCIA, NICOLAS","UTN"
"18","2","CAMERUCCIO , CARLOS","LOS ANDES"
"19","2","MORALES , JOSE","LOS ANDES"
"20","2","BIANCHI , ALEXIS","BANCO MZA"
